-2535;-15986;1791;5388;50069.0;
-2535;-15986;1791;4;0.0;
-2253;-15986;2149;156;1414.0;
-2253;-15986;2149;4;0.0;
-1971;-15986;2508;156;1414.0;
-1971;-15986;2149;112;1000.0;
-1971;-15986;2149;4;0.0;
2253;-15986;1791;1621;15033.0;
2253;-15986;1791;4;0.0;
2253;-15986;1791;4;0.0;
2535;-15986;1791;112;1000.0;
2535;-15986;1791;4;0.0;
2535;-15986;1791;4;0.0;
2535;-15986;1791;4;0.0;
2816;-15986;1791;112;1000.0;
2816;-15986;1433;112;1000.0;
3098;-15986;1433;112;1000.0;
3098;-15986;1433;4;0.0;
3098;-15986;1433;4;0.0;
3098;-15986;1433;4;0.0;
3380;-15986;1433;112;1000.0;
3661;-15986;1074;156;1414.0;
6196;-14028;0;1211;11224.0;
6196;-14028;0;4;0.0;
5915;-14028;716;245;2236.0;
5633;-14028;1074;156;1414.0;
5070;-14028;1433;245;2236.0;
4506;-14028;2508;392;3605.0;
3943;-14028;2866;245;2236.0;
3380;-14028;3582;308;2828.0;
2816;-14028;3582;219;2000.0;
2535;-14028;3582;112;1000.0;
1408;-14028;4299;485;4472.0;
845;-14028;4299;219;2000.0;
563;-14028;4299;112;1000.0;
0;-14028;4299;219;2000.0;
0;-14028;4657;112;1000.0;
-563;-14028;4299;245;2236.0;
-845;-14028;4299;112;1000.0;
-1690;-14028;4299;327;3000.0;
-1971;-14028;3941;156;1414.0;
-2253;-14028;3941;112;1000.0;
-2816;-14028;3582;245;2236.0;
-3098;-14028;3582;112;1000.0;
-3380;-14028;3224;156;1414.0;
-3943;-14028;3224;219;2000.0;
-4225;-14028;2866;156;1414.0;
-4506;-14028;2508;156;1414.0;
-4788;-14028;2149;156;1414.0;
-5070;-14028;2149;112;1000.0;
-5351;-14028;1433;245;2236.0;
-5915;-14028;358;392;3605.0;
-6196;-14028;0;156;1414.0;
-6196;-14028;0;4;0.0;
-6196;-14028;0;4;0.0;
-7323;-12071;0;780;7211.0;
-7041;-12071;0;112;1000.0;
-6760;-12071;1074;344;3162.0;
-6760;-12071;716;112;1000.0;
-6196;-12071;1791;392;3605.0;
-5915;-12071;1791;112;1000.0;
-5070;-12071;3224;542;5000.0;
-4788;-12071;3582;156;1414.0;
-4506;-12071;3941;156;1414.0;
-4225;-12071;4299;156;1414.0;
-3661;-12071;4657;245;2236.0;
-3380;-12071;4657;112;1000.0;
-3098;-12071;5016;156;1414.0;
-2816;-12071;5016;112;1000.0;
-2253;-12071;5016;219;2000.0;
-1971;-12071;5374;156;1414.0;
-1408;-12071;5374;219;2000.0;
-1126;-12071;5374;112;1000.0;
-845;-12071;5374;112;1000.0;
-281;-12071;5374;219;2000.0;
0;-12071;5732;156;1414.0;
281;-12071;5732;112;1000.0;
563;-12071;5732;112;1000.0;
1971;-12071;5374;552;5099.0;
2535;-12071;5016;245;2236.0;
2816;-12071;5016;112;1000.0;
3380;-12071;4657;245;2236.0;
3943;-12071;4299;245;2236.0;
4225;-12071;4299;112;1000.0;
4506;-12071;3941;156;1414.0;
5070;-12071;3224;308;2828.0;
5351;-12071;2866;156;1414.0;
5633;-12071;2508;156;1414.0;
6196;-12071;1791;308;2828.0;
6478;-12071;1433;156;1414.0;
6760;-12071;1074;156;1414.0;
7323;-12071;0;392;3605.0;
7323;-12071;0;4;0.0;
7323;-12071;0;4;0.0;
7605;-10113;0;658;6082.0;
7605;-10113;0;4;0.0;
7605;-10113;0;4;0.0;
7605;-10113;358;112;1000.0;
7041;-10113;1074;308;2828.0;
6760;-10113;1433;156;1414.0;
6196;-10113;2508;392;3605.0;
5915;-10113;2866;156;1414.0;
5351;-10113;3582;308;2828.0;
4788;-10113;3941;245;2236.0;
4506;-10113;4299;156;1414.0;
3380;-10113;5016;485;4472.0;
2816;-10113;5374;245;2236.0;
1690;-10113;5732;448;4123.0;
1408;-10113;5732;112;1000.0;
845;-10113;5732;219;2000.0;
563;-10113;6091;156;1414.0;
281;-10113;6091;112;1000.0;
0;-10113;5732;156;1414.0;
-281;-10113;5732;112;1000.0;
-845;-10113;5732;219;2000.0;
-4506;-10113;4299;1467;13601.0;
-4788;-10113;3941;156;1414.0;
-5351;-10113;3582;245;2236.0;
-5633;-10113;3582;112;1000.0;
-5915;-10113;3224;156;1414.0;
-6196;-10113;2866;156;1414.0;
-7041;-10113;1433;542;5000.0;
-7323;-10113;716;245;2236.0;
